"Uninsured adults ages 19–64"
"Uninsured adults"
time_period,state,population,cohort,point_estimate
2016,Massachusetts,income,"0%-199% FPL",6.4
2017,Massachusetts,income,"0%-199% FPL",6.8
2018,Massachusetts,income,"0%-199% FPL",7.6
2019,Massachusetts,income,"0%-199% FPL",8.6
2020,Massachusetts,income,"0%-199% FPL",8.3
2021,Massachusetts,income,"0%-199% FPL",6.5
2012,Michigan,income,"0%-199% FPL",31.6
2013,Michigan,income,"0%-199% FPL",30.4
2014,Michigan,income,"0%-199% FPL",22.7
2015,Michigan,income,"0%-199% FPL",15.1
2016,Michigan,income,"0%-199% FPL",13.6
2017,Michigan,income,"0%-199% FPL",12.9
2018,Michigan,income,"0%-199% FPL",13.3
2019,Michigan,income,"0%-199% FPL",14.2
2020,Michigan,income,"0%-199% FPL",13.5
2021,Michigan,income,"0%-199% FPL",12
2012,Minnesota,income,"0%-199% FPL",23.1
2013,Minnesota,income,"0%-199% FPL",23.1
2014,Minnesota,income,"0%-199% FPL",18.1
2015,Minnesota,income,"0%-199% FPL",13.1
2016,Minnesota,income,"0%-199% FPL",11.5
2017,Minnesota,income,"0%-199% FPL",13.5
2018,Minnesota,income,"0%-199% FPL",11.9
2019,Minnesota,income,"0%-199% FPL",13.5
2020,Minnesota,income,"0%-199% FPL",13.8
2021,Minnesota,income,"0%-199% FPL",12.4
2012,Mississippi,income,"0%-199% FPL",39.5
2013,Mississippi,income,"0%-199% FPL",38.9
2014,Mississippi,income,"0%-199% FPL",34.8
2015,Mississippi,income,"0%-199% FPL",30.1
2016,Mississippi,income,"0%-199% FPL",30.5
2017,Mississippi,income,"0%-199% FPL",30.6
2018,Mississippi,income,"0%-199% FPL",31.9
2019,Mississippi,income,"0%-199% FPL",31.7
2020,Mississippi,income,"0%-199% FPL",28.6
2021,Mississippi,income,"0%-199% FPL",29.8
2012,Missouri,income,"0%-199% FPL",37.2
2013,Missouri,income,"0%-199% FPL",35.7
2014,Missouri,income,"0%-199% FPL",32.4
2015,Missouri,income,"0%-199% FPL",28.3
2016,Missouri,income,"0%-199% FPL",25.7
2017,Missouri,income,"0%-199% FPL",26.3
2018,Missouri,income,"0%-199% FPL",26.5
2019,Missouri,income,"0%-199% FPL",29.2
2020,Missouri,income,"0%-199% FPL",28.5
2021,Missouri,income,"0%-199% FPL",27.2
2012,Montana,income,"0%-199% FPL",43.1
2013,Montana,income,"0%-199% FPL",39.5
2014,Montana,income,"0%-199% FPL",32.9
2015,Montana,income,"0%-199% FPL",29.2
2016,Montana,income,"0%-199% FPL",22.6
2017,Montana,income,"0%-199% FPL",19.1
2018,Montana,income,"0%-199% FPL",19.7
2019,Montana,income,"0%-199% FPL",17.1
2020,Montana,income,"0%-199% FPL",16.3
2021,Montana,income,"0%-199% FPL",16.8
2012,Nebraska,income,"0%-199% FPL",36.1
2013,Nebraska,income,"0%-199% FPL",35
2014,Nebraska,income,"0%-199% FPL",31.6
2015,Nebraska,income,"0%-199% FPL",25.8
2016,Nebraska,income,"0%-199% FPL",28.7
2017,Nebraska,income,"0%-199% FPL",27.2
2018,Nebraska,income,"0%-199% FPL",26
2019,Nebraska,income,"0%-199% FPL",26.6
2020,Nebraska,income,"0%-199% FPL",24.5
2021,Nebraska,income,"0%-199% FPL",21.3
2012,Nevada,income,"0%-199% FPL",50.1
2013,Nevada,income,"0%-199% FPL",47.4
2014,Nevada,income,"0%-199% FPL",34.5
2015,Nevada,income,"0%-199% FPL",28.3
2016,Nevada,income,"0%-199% FPL",26.5
2017,Nevada,income,"0%-199% FPL",25
2018,Nevada,income,"0%-199% FPL",25.2
2019,Nevada,income,"0%-199% FPL",26.7
2020,Nevada,income,"0%-199% FPL",27.7
2021,Nevada,income,"0%-199% FPL",24.7
2012,"New Hampshire",income,"0%-199% FPL",35.2
2013,"New Hampshire",income,"0%-199% FPL",33.6
2014,"New Hampshire",income,"0%-199% FPL",30.6
2015,"New Hampshire",income,"0%-199% FPL",21.2
2016,"New Hampshire",income,"0%-199% FPL",19.9
2017,"New Hampshire",income,"0%-199% FPL",17.7
2018,"New Hampshire",income,"0%-199% FPL",14.7
2019,"New Hampshire",income,"0%-199% FPL",17.4
2020,"New Hampshire",income,"0%-199% FPL",18.7
2021,"New Hampshire",income,"0%-199% FPL",12.9
2012,"New Jersey",income,"0%-199% FPL",40.4
2013,"New Jersey",income,"0%-199% FPL",42.8
2014,"New Jersey",income,"0%-199% FPL",35.7
2015,"New Jersey",income,"0%-199% FPL",27.8
2016,"New Jersey",income,"0%-199% FPL",25.4
2017,"New Jersey",income,"0%-199% FPL",25.2
2018,"New Jersey",income,"0%-199% FPL",24.4
2019,"New Jersey",income,"0%-199% FPL",24
2020,"New Jersey",income,"0%-199% FPL",24
2021,"New Jersey",income,"0%-199% FPL",24.5
2012,"New Mexico",income,"0%-199% FPL",43.7
2013,"New Mexico",income,"0%-199% FPL",43
2014,"New Mexico",income,"0%-199% FPL",32.5
2015,"New Mexico",income,"0%-199% FPL",24
2016,"New Mexico",income,"0%-199% FPL",19.5
2017,"New Mexico",income,"0%-199% FPL",18.7
2018,"New Mexico",income,"0%-199% FPL",18.9
2019,"New Mexico",income,"0%-199% FPL",19.8
2020,"New Mexico",income,"0%-199% FPL",19.1
2021,"New Mexico",income,"0%-199% FPL",19.5
2012,"New York",income,"0%-199% FPL",27.2
2013,"New York",income,"0%-199% FPL",26.1
2014,"New York",income,"0%-199% FPL",21.6
2015,"New York",income,"0%-199% FPL",17.4
2016,"New York",income,"0%-199% FPL",14.7
2017,"New York",income,"0%-199% FPL",13.4
2018,"New York",income,"0%-199% FPL",12.6
2019,"New York",income,"0%-199% FPL",11.8
2020,"New York",income,"0%-199% FPL",12.1
2021,"New York",income,"0%-199% FPL",12.2
2012,"North Carolina",income,"0%-199% FPL",43.3
2013,"North Carolina",income,"0%-199% FPL",42
2014,"North Carolina",income,"0%-199% FPL",35.6
2015,"North Carolina",income,"0%-199% FPL",31.6
2016,"North Carolina",income,"0%-199% FPL",29.3
2017,"North Carolina",income,"0%-199% FPL",30.6
2018,"North Carolina",income,"0%-199% FPL",29.9
2019,"North Carolina",income,"0%-199% FPL",31
2020,"North Carolina",income,"0%-199% FPL",30.7
2021,"North Carolina",income,"0%-199% FPL",27.9
2012,"North Dakota",income,"0%-199% FPL",28.6
2013,"North Dakota",income,"0%-199% FPL",28.2
2014,"North Dakota",income,"0%-199% FPL",23.6
2015,"North Dakota",income,"0%-199% FPL",19.4
2016,"North Dakota",income,"0%-199% FPL",19.6
2017,"North Dakota",income,"0%-199% FPL",21.5
2018,"North Dakota",income,"0%-199% FPL",21.3
2019,"North Dakota",income,"0%-199% FPL",17.5
2020,"North Dakota",income,"0%-199% FPL",20.3
2021,"North Dakota",income,"0%-199% FPL",21.1
2012,Ohio,income,"0%-199% FPL",32.2
2013,Ohio,income,"0%-199% FPL",30.3
2014,Ohio,income,"0%-199% FPL",21.8
2015,Ohio,income,"0%-199% FPL",15.7
2016,Ohio,income,"0%-199% FPL",14.1
2017,Ohio,income,"0%-199% FPL",14.6
2018,Ohio,income,"0%-199% FPL",15.8
2019,Ohio,income,"0%-199% FPL",15.6
2020,Ohio,income,"0%-199% FPL",15.7
2021,Ohio,income,"0%-199% FPL",15
2012,Oklahoma,income,"0%-199% FPL",43.2
2013,Oklahoma,income,"0%-199% FPL",42.2
2014,Oklahoma,income,"0%-199% FPL",38.8
2015,Oklahoma,income,"0%-199% FPL",34.7
2016,Oklahoma,income,"0%-199% FPL",35
2017,Oklahoma,income,"0%-199% FPL",34.7
2018,Oklahoma,income,"0%-199% FPL",33.4
2019,Oklahoma,income,"0%-199% FPL",37.1
2020,Oklahoma,income,"0%-199% FPL",36.1
2021,Oklahoma,income,"0%-199% FPL",34.2
2012,Oregon,income,"0%-199% FPL",37.9
2013,Oregon,income,"0%-199% FPL",37.1
2014,Oregon,income,"0%-199% FPL",23.4
2015,Oregon,income,"0%-199% FPL",16.9
2016,Oregon,income,"0%-199% FPL",14.7
2017,Oregon,income,"0%-199% FPL",15.7
2018,Oregon,income,"0%-199% FPL",17.3
2019,Oregon,income,"0%-199% FPL",16.9
2020,Oregon,income,"0%-199% FPL",15.9
2021,Oregon,income,"0%-199% FPL",15.3
2012,Pennsylvania,income,"0%-199% FPL",28
2013,Pennsylvania,income,"0%-199% FPL",28.8
2014,Pennsylvania,income,"0%-199% FPL",24.8
2015,Pennsylvania,income,"0%-199% FPL",17.5
2016,Pennsylvania,income,"0%-199% FPL",15.1
2017,Pennsylvania,income,"0%-199% FPL",14
2018,Pennsylvania,income,"0%-199% FPL",14.2
2019,Pennsylvania,income,"0%-199% FPL",14.9
2020,Pennsylvania,income,"0%-199% FPL",15.3
2021,Pennsylvania,income,"0%-199% FPL",13.9
2012,"Rhode Island",income,"0%-199% FPL",31.9
2013,"Rhode Island",income,"0%-199% FPL",31.8
2014,"Rhode Island",income,"0%-199% FPL",17.8
2015,"Rhode Island",income,"0%-199% FPL",11.3
2016,"Rhode Island",income,"0%-199% FPL",10.1
2017,"Rhode Island",income,"0%-199% FPL",12.9
2018,"Rhode Island",income,"0%-199% FPL",9.6
2019,"Rhode Island",income,"0%-199% FPL",11
2020,"Rhode Island",income,"0%-199% FPL",9
2021,"Rhode Island",income,"0%-199% FPL",9.8
2012,"South Carolina",income,"0%-199% FPL",41.8
2013,"South Carolina",income,"0%-199% FPL",39.1
2014,"South Carolina",income,"0%-199% FPL",36.3
2015,"South Carolina",income,"0%-199% FPL",28.8
2016,"South Carolina",income,"0%-199% FPL",27
2017,"South Carolina",income,"0%-199% FPL",30
2018,"South Carolina",income,"0%-199% FPL",27.7
2019,"South Carolina",income,"0%-199% FPL",28.7
2020,"South Carolina",income,"0%-199% FPL",28.8
2021,"South Carolina",income,"0%-199% FPL",26.1
2012,"South Dakota",income,"0%-199% FPL",31.3
2013,"South Dakota",income,"0%-199% FPL",36.2
2014,"South Dakota",income,"0%-199% FPL",28.9
2015,"South Dakota",income,"0%-199% FPL",34.6
2016,"South Dakota",income,"0%-199% FPL",25.6
2017,"South Dakota",income,"0%-199% FPL",27.7
2018,"South Dakota",income,"0%-199% FPL",28.9
2019,"South Dakota",income,"0%-199% FPL",29.2
2020,"South Dakota",income,"0%-199% FPL",32.3
2021,"South Dakota",income,"0%-199% FPL",28.6
2012,Tennessee,income,"0%-199% FPL",36.1
2013,Tennessee,income,"0%-199% FPL",36.6
2014,Tennessee,income,"0%-199% FPL",30.4
2015,Tennessee,income,"0%-199% FPL",27.6
2016,Tennessee,income,"0%-199% FPL",24.4
2017,Tennessee,income,"0%-199% FPL",24.8
2018,Tennessee,income,"0%-199% FPL",26.3
2019,Tennessee,income,"0%-199% FPL",28.1
2020,Tennessee,income,"0%-199% FPL",26.9
2021,Tennessee,income,"0%-199% FPL",27.6
2012,Texas,income,"0%-199% FPL",53.2
2013,Texas,income,"0%-199% FPL",51.8
2014,Texas,income,"0%-199% FPL",46
2015,Texas,income,"0%-199% FPL",42.7
2016,Texas,income,"0%-199% FPL",42.2
2017,Texas,income,"0%-199% FPL",42.7
2018,Texas,income,"0%-199% FPL",43.1
2019,Texas,income,"0%-199% FPL",44.3
2020,Texas,income,"0%-199% FPL",42.9
2021,Texas,income,"0%-199% FPL",44
2012,Utah,income,"0%-199% FPL",36.4
2013,Utah,income,"0%-199% FPL",34.7
2014,Utah,income,"0%-199% FPL",31.1
2015,Utah,income,"0%-199% FPL",28.1
2016,Utah,income,"0%-199% FPL",23.9
2017,Utah,income,"0%-199% FPL",25.2
2018,Utah,income,"0%-199% FPL",22.8
2019,Utah,income,"0%-199% FPL",24.7
2020,Utah,income,"0%-199% FPL",22.6
2021,Utah,income,"0%-199% FPL",20.6
2012,Vermont,income,"0%-199% FPL",15.7
2013,Vermont,income,"0%-199% FPL",14.2
2014,Vermont,income,"0%-199% FPL",11.4
2015,Vermont,income,"0%-199% FPL",7.3
2016,Vermont,income,"0%-199% FPL",6.8
2017,Vermont,income,"0%-199% FPL",6.7
2018,Vermont,income,"0%-199% FPL",9.1
2019,Vermont,income,"0%-199% FPL",8.7
2020,Vermont,income,"0%-199% FPL",6.8
2021,Vermont,income,"0%-199% FPL",7.5
2012,Virginia,income,"0%-199% FPL",38.5
2013,Virginia,income,"0%-199% FPL",38.3
2014,Virginia,income,"0%-199% FPL",33.4
2015,Virginia,income,"0%-199% FPL",29.3
2016,Virginia,income,"0%-199% FPL",28.7
2017,Virginia,income,"0%-199% FPL",27
2018,Virginia,income,"0%-199% FPL",27.8
2019,Virginia,income,"0%-199% FPL",23.4
2020,Virginia,income,"0%-199% FPL",20
2021,Virginia,income,"0%-199% FPL",18.7
2012,Washington,income,"0%-199% FPL",38.5
2013,Washington,income,"0%-199% FPL",39.7
2014,Washington,income,"0%-199% FPL",24.3
2015,Washington,income,"0%-199% FPL",17.9
2016,Washington,income,"0%-199% FPL",16.1
2017,Washington,income,"0%-199% FPL",17.3
2018,Washington,income,"0%-199% FPL",16.7
2019,Washington,income,"0%-199% FPL",17.8
2020,Washington,income,"0%-199% FPL",17.2
2021,Washington,income,"0%-199% FPL",17.1
2012,"West Virginia",income,"0%-199% FPL",38.2
2013,"West Virginia",income,"0%-199% FPL",34.9
2014,"West Virginia",income,"0%-199% FPL",19.9
2015,"West Virginia",income,"0%-199% FPL",11.6
2016,"West Virginia",income,"0%-199% FPL",10.9
2017,"West Virginia",income,"0%-199% FPL",12.4
2018,"West Virginia",income,"0%-199% FPL",13.3
2019,"West Virginia",income,"0%-199% FPL",14.1
2020,"West Virginia",income,"0%-199% FPL",16.4
2021,"West Virginia",income,"0%-199% FPL",13
2012,Wisconsin,income,"0%-199% FPL",26.8
2013,Wisconsin,income,"0%-199% FPL",26.2
2014,Wisconsin,income,"0%-199% FPL",21.6
2015,Wisconsin,income,"0%-199% FPL",17
2016,Wisconsin,income,"0%-199% FPL",14.6
2017,Wisconsin,income,"0%-199% FPL",14.3
2018,Wisconsin,income,"0%-199% FPL",14.8
2019,Wisconsin,income,"0%-199% FPL",16.6
2020,Wisconsin,income,"0%-199% FPL",15.5
2021,Wisconsin,income,"0%-199% FPL",13.2
2012,Wyoming,income,"0%-199% FPL",39.9
2013,Wyoming,income,"0%-199% FPL",37.1
2014,Wyoming,income,"0%-199% FPL",32.9
2015,Wyoming,income,"0%-199% FPL",29
2016,Wyoming,income,"0%-199% FPL",25.9
2017,Wyoming,income,"0%-199% FPL",32.6
2018,Wyoming,income,"0%-199% FPL",28.8
2019,Wyoming,income,"0%-199% FPL",29.3
2020,Wyoming,income,"0%-199% FPL",37.2
2021,Wyoming,income,"0%-199% FPL",29
2012,"United States",income,"200%-399% FPL",20.3
2013,"United States",income,"200%-399% FPL",20
2014,"United States",income,"200%-399% FPL",16.1
2015,"United States",income,"200%-399% FPL",13.4
2016,"United States",income,"200%-399% FPL",12.9
2017,"United States",income,"200%-399% FPL",13.4
2018,"United States",income,"200%-399% FPL",13.9
2019,"United States",income,"200%-399% FPL",15
2020,"United States",income,"200%-399% FPL",14.6
2021,"United States",income,"200%-399% FPL",14.2
2012,Alabama,income,"200%-399% FPL",16.1
2013,Alabama,income,"200%-399% FPL",16.3
2014,Alabama,income,"200%-399% FPL",13.6
2015,Alabama,income,"200%-399% FPL",12.2
2016,Alabama,income,"200%-399% FPL",11.5
2017,Alabama,income,"200%-399% FPL",11.8
2018,Alabama,income,"200%-399% FPL",12.9
2019,Alabama,income,"200%-399% FPL",13.3
2020,Alabama,income,"200%-399% FPL",14
2021,Alabama,income,"200%-399% FPL",13.8
2012,Alaska,income,"200%-399% FPL",28.9
2013,Alaska,income,"200%-399% FPL",27.1
2014,Alaska,income,"200%-399% FPL",29
2015,Alaska,income,"200%-399% FPL",22.3
2016,Alaska,income,"200%-399% FPL",20.5
2017,Alaska,income,"200%-399% FPL",23.1
2018,Alaska,income,"200%-399% FPL",19.1
2019,Alaska,income,"200%-399% FPL",17.1
2020,Alaska,income,"200%-399% FPL",20.7
2021,Alaska,income,"200%-399% FPL",17.3
2012,Arizona,income,"200%-399% FPL",21.9
2013,Arizona,income,"200%-399% FPL",21.1
2014,Arizona,income,"200%-399% FPL",16.4
2015,Arizona,income,"200%-399% FPL",14
2016,Arizona,income,"200%-399% FPL",14.3
2017,Arizona,income,"200%-399% FPL",14.3
2018,Arizona,income,"200%-399% FPL",15.7
2019,Arizona,income,"200%-399% FPL",18
2020,Arizona,income,"200%-399% FPL",18
2021,Arizona,income,"200%-399% FPL",16.6
2012,Arkansas,income,"200%-399% FPL",20
2013,Arkansas,income,"200%-399% FPL",19.3
2014,Arkansas,income,"200%-399% FPL",15.5
2015,Arkansas,income,"200%-399% FPL",11.4
2016,Arkansas,income,"200%-399% FPL",11.1
2017,Arkansas,income,"200%-399% FPL",11.8
2018,Arkansas,income,"200%-399% FPL",11.3
2019,Arkansas,income,"200%-399% FPL",14.4
2020,Arkansas,income,"200%-399% FPL",12.8
2021,Arkansas,income,"200%-399% FPL",15.1
2012,California,income,"200%-399% FPL",26.3
2013,California,income,"200%-399% FPL",25.7
2014,California,income,"200%-399% FPL",18.3
2015,California,income,"200%-399% FPL",13.5
2016,California,income,"200%-399% FPL",12.3
2017,California,income,"200%-399% FPL",12.1
2018,California,income,"200%-399% FPL",12.5
2019,California,income,"200%-399% FPL",14.6
2020,California,income,"200%-399% FPL",13.3
2021,California,income,"200%-399% FPL",12.8
2012,Colorado,income,"200%-399% FPL",20.9
2013,Colorado,income,"200%-399% FPL",20.7
2014,Colorado,income,"200%-399% FPL",16.9
2015,Colorado,income,"200%-399% FPL",14
2016,Colorado,income,"200%-399% FPL",12.8
2017,Colorado,income,"200%-399% FPL",14
2018,Colorado,income,"200%-399% FPL",13.3
2019,Colorado,income,"200%-399% FPL",14.5
2020,Colorado,income,"200%-399% FPL",16.5
2021,Colorado,income,"200%-399% FPL",15
2012,Connecticut,income,"200%-399% FPL",18.1
2013,Connecticut,income,"200%-399% FPL",17.5
2014,Connecticut,income,"200%-399% FPL",13.6
2015,Connecticut,income,"200%-399% FPL",11.1
2016,Connecticut,income,"200%-399% FPL",10.7
2017,Connecticut,income,"200%-399% FPL",11.3
2018,Connecticut,income,"200%-399% FPL",10.5
2019,Connecticut,income,"200%-399% FPL",12.8
2020,Connecticut,income,"200%-399% FPL",8.7
2021,Connecticut,income,"200%-399% FPL",10.9
2012,Delaware,income,"200%-399% FPL",15.6
2013,Delaware,income,"200%-399% FPL",16.5
2014,Delaware,income,"200%-399% FPL",12.1
2015,Delaware,income,"200%-399% FPL",8.2
2016,Delaware,income,"200%-399% FPL",10.4
2017,Delaware,income,"200%-399% FPL",11
2018,Delaware,income,"200%-399% FPL",11.6
2019,Delaware,income,"200%-399% FPL",11.3
2020,Delaware,income,"200%-399% FPL",10.4
2021,Delaware,income,"200%-399% FPL",9.9
2012,"District of Columbia",income,"200%-399% FPL",10
2013,"District of Columbia",income,"200%-399% FPL",11.7
2014,"District of Columbia",income,"200%-399% FPL",12.6
2015,"District of Columbia",income,"200%-399% FPL",7.1
2016,"District of Columbia",income,"200%-399% FPL",8.6
2017,"District of Columbia",income,"200%-399% FPL",9
2018,"District of Columbia",income,"200%-399% FPL",5.9
2019,"District of Columbia",income,"200%-399% FPL",7.1
2020,"District of Columbia",income,"200%-399% FPL",9.1
2021,"District of Columbia",income,"200%-399% FPL",6.2
2012,Florida,income,"200%-399% FPL",26.8
2013,Florida,income,"200%-399% FPL",28.1
2014,Florida,income,"200%-399% FPL",23
2015,Florida,income,"200%-399% FPL",18.9
2016,Florida,income,"200%-399% FPL",18.1
2017,Florida,income,"200%-399% FPL",19.2
2018,Florida,income,"200%-399% FPL",20.3
2019,Florida,income,"200%-399% FPL",20.9
2020,Florida,income,"200%-399% FPL",19.7
2021,Florida,income,"200%-399% FPL",19
2012,Georgia,income,"200%-399% FPL",22.1
2013,Georgia,income,"200%-399% FPL",21.9
2014,Georgia,income,"200%-399% FPL",19.9
2015,Georgia,income,"200%-399% FPL",16.2
2016,Georgia,income,"200%-399% FPL",16.4
2017,Georgia,income,"200%-399% FPL",17.6
2018,Georgia,income,"200%-399% FPL",18.8
2019,Georgia,income,"200%-399% FPL",19.7
2020,Georgia,income,"200%-399% FPL",19.9
2021,Georgia,income,"200%-399% FPL",19.3
2012,Hawaii,income,"200%-399% FPL",10.3
2013,Hawaii,income,"200%-399% FPL",10
2014,Hawaii,income,"200%-399% FPL",7.4
2015,Hawaii,income,"200%-399% FPL",5.6
2016,Hawaii,income,"200%-399% FPL",6.1
2017,Hawaii,income,"200%-399% FPL",5.2
2018,Hawaii,income,"200%-399% FPL",6.1
2019,Hawaii,income,"200%-399% FPL",6
2020,Hawaii,income,"200%-399% FPL",6.1
2021,Hawaii,income,"200%-399% FPL",5.3
2012,Idaho,income,"200%-399% FPL",18.3
2013,Idaho,income,"200%-399% FPL",21.4
2014,Idaho,income,"200%-399% FPL",15.8
2015,Idaho,income,"200%-399% FPL",14.2
2016,Idaho,income,"200%-399% FPL",13.4
2017,Idaho,income,"200%-399% FPL",14.4
2018,Idaho,income,"200%-399% FPL",17.9
2019,Idaho,income,"200%-399% FPL",13.5
2020,Idaho,income,"200%-399% FPL",15.5
2021,Idaho,income,"200%-399% FPL",12.6
2012,Illinois,income,"200%-399% FPL",20
2013,Illinois,income,"200%-399% FPL",19.4
2014,Illinois,income,"200%-399% FPL",14.2
2015,Illinois,income,"200%-399% FPL",11
2016,Illinois,income,"200%-399% FPL",10.5
2017,Illinois,income,"200%-399% FPL",11.9
2018,Illinois,income,"200%-399% FPL",12.4
2019,Illinois,income,"200%-399% FPL",12.6
2020,Illinois,income,"200%-399% FPL",12.8
2021,Illinois,income,"200%-399% FPL",12.3
2012,Indiana,income,"200%-399% FPL",17.3
2013,Indiana,income,"200%-399% FPL",16
2014,Indiana,income,"200%-399% FPL",14.8
2015,Indiana,income,"200%-399% FPL",12.3
2016,Indiana,income,"200%-399% FPL",10.9
2017,Indiana,income,"200%-399% FPL",11.3
2018,Indiana,income,"200%-399% FPL",11.1
2019,Indiana,income,"200%-399% FPL",12.6
2020,Indiana,income,"200%-399% FPL",11.7
2021,Indiana,income,"200%-399% FPL",12.2
2012,Iowa,income,"200%-399% FPL",11.4
2013,Iowa,income,"200%-399% FPL",12
2014,Iowa,income,"200%-399% FPL",8
2015,Iowa,income,"200%-399% FPL",6.3
2016,Iowa,income,"200%-399% FPL",6.6
2017,Iowa,income,"200%-399% FPL",7.6
2018,Iowa,income,"200%-399% FPL",8.3
2019,Iowa,income,"200%-399% FPL",7.5
2020,Iowa,income,"200%-399% FPL",8.2
2021,Iowa,income,"200%-399% FPL",7.5
2012,Kansas,income,"200%-399% FPL",16
2013,Kansas,income,"200%-399% FPL",15.1
2014,Kansas,income,"200%-399% FPL",12.2
2015,Kansas,income,"200%-399% FPL",12.1
2016,Kansas,income,"200%-399% FPL",9.6
2017,Kansas,income,"200%-399% FPL",11.2
2018,Kansas,income,"200%-399% FPL",11.5
2019,Kansas,income,"200%-399% FPL",12.5
2020,Kansas,income,"200%-399% FPL",12.5
2021,Kansas,income,"200%-399% FPL",13.6
2012,Kentucky,income,"200%-399% FPL",14.3
2013,Kentucky,income,"200%-399% FPL",17
2014,Kentucky,income,"200%-399% FPL",12
2015,Kentucky,income,"200%-399% FPL",8.5
2016,Kentucky,income,"200%-399% FPL",8
2017,Kentucky,income,"200%-399% FPL",7.9
2018,Kentucky,income,"200%-399% FPL",8.2
2019,Kentucky,income,"200%-399% FPL",9.4
2020,Kentucky,income,"200%-399% FPL",8.8
2021,Kentucky,income,"200%-399% FPL",8.4
2012,Louisiana,income,"200%-399% FPL",23.2
2013,Louisiana,income,"200%-399% FPL",21.3
2014,Louisiana,income,"200%-399% FPL",19.1
2015,Louisiana,income,"200%-399% FPL",17
2016,Louisiana,income,"200%-399% FPL",14.4
2017,Louisiana,income,"200%-399% FPL",11.9
2018,Louisiana,income,"200%-399% FPL",11.6
2019,Louisiana,income,"200%-399% FPL",14.9
2020,Louisiana,income,"200%-399% FPL",13.8
2021,Louisiana,income,"200%-399% FPL",12.8
2012,Maine,income,"200%-399% FPL",18.1
2013,Maine,income,"200%-399% FPL",18
2014,Maine,income,"200%-399% FPL",13.3
2015,Maine,income,"200%-399% FPL",12.6
2016,Maine,income,"200%-399% FPL",12.9
2017,Maine,income,"200%-399% FPL",12.2
2018,Maine,income,"200%-399% FPL",11.5
2019,Maine,income,"200%-399% FPL",12.1
2020,Maine,income,"200%-399% FPL",13
2021,Maine,income,"200%-399% FPL",9.3
2012,Maryland,income,"200%-399% FPL",19.4
2013,Maryland,income,"200%-399% FPL",18.3
2014,Maryland,income,"200%-399% FPL",14.5
2015,Maryland,income,"200%-399% FPL",12.6
2016,Maryland,income,"200%-399% FPL",12.6
2017,Maryland,income,"200%-399% FPL",11.9
2018,Maryland,income,"200%-399% FPL",12.3
2019,Maryland,income,"200%-399% FPL",11.6
2020,Maryland,income,"200%-399% FPL",12.8
2021,Maryland,income,"200%-399% FPL",11.7
2012,Massachusetts,income,"200%-399% FPL",7.6
2013,Massachusetts,income,"200%-399% FPL",7.4
2014,Massachusetts,income,"200%-399% FPL",6.8
2015,Massachusetts,income,"200%-399% FPL",5.3
2016,Massachusetts,income,"200%-399% FPL",5.3
2017,Massachusetts,income,"200%-399% FPL",6.2
2018,Massachusetts,income,"200%-399% FPL",5.9
2019,Massachusetts,income,"200%-399% FPL",6.7
2020,Massachusetts,income,"200%-399% FPL",4.8
2021,Massachusetts,income,"200%-399% FPL",5.7
2012,Michigan,income,"200%-399% FPL",14.7
2013,Michigan,income,"200%-399% FPL",14.2
2014,Michigan,income,"200%-399% FPL",11.1
2015,Michigan,income,"200%-399% FPL",8.8
2016,Michigan,income,"200%-399% FPL",8
2017,Michigan,income,"200%-399% FPL",8
2018,Michigan,income,"200%-399% FPL",8.9
2019,Michigan,income,"200%-399% FPL",9.9
2020,Michigan,income,"200%-399% FPL",9
2021,Michigan,income,"200%-399% FPL",8.9
2012,Minnesota,income,"200%-399% FPL",13.2
2013,Minnesota,income,"200%-399% FPL",12.6
2014,Minnesota,income,"200%-399% FPL",9.2
2015,Minnesota,income,"200%-399% FPL",7.2
2016,Minnesota,income,"200%-399% FPL",7.7
2017,Minnesota,income,"200%-399% FPL",7.8
2018,Minnesota,income,"200%-399% FPL",7.4
2019,Minnesota,income,"200%-399% FPL",9.4
2020,Minnesota,income,"200%-399% FPL",9.6
2021,Minnesota,income,"200%-399% FPL",7.7
2012,Mississippi,income,"200%-399% FPL",20.1
2013,Mississippi,income,"200%-399% FPL",18.9
2014,Mississippi,income,"200%-399% FPL",17.7
2015,Mississippi,income,"200%-399% FPL",16.4
2016,Mississippi,income,"200%-399% FPL",14.3
2017,Mississippi,income,"200%-399% FPL",15.4
2018,Mississippi,income,"200%-399% FPL",13.6
2019,Mississippi,income,"200%-399% FPL",16.4
2020,Mississippi,income,"200%-399% FPL",16.5
2021,Mississippi,income,"200%-399% FPL",14.7
2012,Missouri,income,"200%-399% FPL",17
2013,Missouri,income,"200%-399% FPL",15.5
2014,Missouri,income,"200%-399% FPL",13
2015,Missouri,income,"200%-399% FPL",10.7
2016,Missouri,income,"200%-399% FPL",11.5
2017,Missouri,income,"200%-399% FPL",12.2
2018,Missouri,income,"200%-399% FPL",13.1
2019,Missouri,income,"200%-399% FPL",13
2020,Missouri,income,"200%-399% FPL",14.1
2021,Missouri,income,"200%-399% FPL",13
2012,Montana,income,"200%-399% FPL",21.8
2013,Montana,income,"200%-399% FPL",20.6
2014,Montana,income,"200%-399% FPL",17.6
2015,Montana,income,"200%-399% FPL",13.2
2016,Montana,income,"200%-399% FPL",10.9
2017,Montana,income,"200%-399% FPL",14.2
